age,favourite_colour,preferred_biscuit,dominant_hand,likes_pineapple_on_pizza,zodiac_sign,preferred_pet_type,political_leaning,drives,personality
70,Green,Bourbon,Right,Yes,Leo,Fish,Center,Yes,Introvert
38,Orange,Jammie Dodger,Left,No,Taurus,Fish,Left,Yes,Ambivert
24,Brown,Shortbread,Right,Yes,Cancer,Dog,Left,No,Ambivert
30,Blue,Shortbread,Right,Yes,Pisces,Fish,Right,No,Introvert
60,Purple,Hobnob,Right,Yes,Taurus,Cat,Center-Left,No,Extrovert
29,Orange,Ginger Nut,Right,No,Aries,Rabbit,Right,Yes,Ambivert
57,Black,Shortbread,Left,No,Capricorn,Rabbit,Center-Left,No,Introvert
45,Black,Jammie Dodger,Left,Yes,Leo,Fish,Center-Right,Yes,Introvert
43,Red,Ginger Nut,Left,Yes,Virgo,Rabbit,Center-Left,No,Extrovert
47,White,Nice,Right,No,Libra,Dog,Left,No,Introvert
20,Brown,Shortbread,Left,No,Taurus,Cat,Left,Yes,Introvert
23,White,Rich Tea,Right,No,Capricorn,Fish,Center-Right,Yes,Introvert
37,Pink,Nice,Right,Yes,Scorpio,Cat,Right,Yes,Ambivert
52,Purple,Bourbon,Right,No,Aquarius,Dog,Center-Right,Yes,Ambivert
41,Brown,Rich Tea,Left,Yes,Aquarius,Bird,Right,No,Introvert
48,Blue,Nice,Left,No,Sagittarius,Bird,Center-Left,No,Introvert
38,Purple,Garibaldi,Right,No,Pisces,Fish,Right,Yes,Introvert
22,Black,Custard Cream,Left,Yes,Sagittarius,Dog,Right,Yes,Ambivert
63,Black,Custard Cream,Left,Yes,Gemini,Cat,Left,Yes,Introvert
25,Purple,Jammie Dodger,Left,Yes,Gemini,Rabbit,Right,No,Extrovert
65,Brown,Digestive,Left,Yes,Taurus,Dog,Center-Left,Yes,Ambivert
40,Green,Custard Cream,Right,Yes,Leo,Cat,Center,No,Ambivert
18,Red,Rich Tea,Left,No,Libra,Bird,Left,No,Introvert
19,Purple,Jammie Dodger,Right,No,Cancer,Bird,Left,Yes,Extrovert
55,Blue,Jammie Dodger,Left,No,Capricorn,Dog,Center-Right,No,Ambivert
44,Red,Rich Tea,Right,Yes,Leo,Dog,Center,No,Introvert
38,Orange,Hobnob,Right,No,Aquarius,Rabbit,Left,Yes,Ambivert
38,Orange,Digestive,Right,Yes,Gemini,Fish,Center,Yes,Introvert
33,Black,Shortbread,Left,No,Cancer,Rabbit,Center-Left,No,Introvert
18,Pink,Ginger Nut,Right,No,Scorpio,Bird,Center-Left,No,Extrovert
29,Pink,Custard Cream,Left,No,Aquarius,Rabbit,Right,No,Ambivert
40,Green,Bourbon,Right,Yes,Capricorn,Bird,Left,Yes,Ambivert
32,Black,Custard Cream,Right,No,Cancer,Rabbit,Left,Yes,Introvert
69,Pink,Digestive,Right,No,Aquarius,Rabbit,Center,Yes,Ambivert
65,Brown,Shortbread,Left,Yes,Scorpio,Bird,Center-Right,Yes,Ambivert
44,Blue,Custard Cream,Right,Yes,Virgo,Cat,Center-Left,No,Ambivert
54,Blue,Garibaldi,Right,Yes,Capricorn,Bird,Center,No,Extrovert
39,Blue,Hobnob,Left,No,Scorpio,Cat,Right,No,Introvert
28,Black,Nice,Right,Yes,Libra,Rabbit,Left,No,Introvert
33,Yellow,Jammie Dodger,Right,No,Gemini,Cat,Right,No,Extrovert
40,Purple,Ginger Nut,Right,Yes,Cancer,Rabbit,Center-Left,Yes,Extrovert
26,Green,Rich Tea,Right,Yes,Scorpio,Dog,Right,No,Introvert
30,Green,Digestive,Right,Yes,Cancer,Bird,Center-Right,No,Ambivert
30,Black,Digestive,Left,No,Gemini,Fish,Center-Right,No,Introvert
40,Black,Bourbon,Right,Yes,Virgo,Cat,Center-Left,No,Introvert
79,Blue,Rich Tea,Left,Yes,Pisces,Rabbit,Center-Left,Yes,Introvert
60,Brown,Nice,Left,No,Aquarius,Dog,Center,Yes,Introvert
